"Code de la région";"Libellé de la région";"Code du département";"Libellé du  département";"Code de la collectivité à statut particulier";"Libellé de la collectivité à statut particulier";"Code de la section - collectivité à statut particulier";"Libellé de la section - collectivité à statut particulier";"Code de la circonscription métropolitaine";"Libellé de la circonscription métropolitaine";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"FAUTRA";"Laurence";"F";1965-11-20;86;"Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité)";2026-03-23;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"GARBRECHT";"Odette";"F";1956-10-21;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"GEOFFROY";"Hélène";"F";1970-03-04;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"QUINIOU";"Christophe";"M";1972-05-13;38;"Ingénieur et cadre technique d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"VIEIRA";"Matthieu";"M";1997-05-06;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69012;"Rhône Amont";"ZARTARIAN";"Dany-Claude";"F";1984-08-09;45;"Profession intermédiaire administrative de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"BAILLOT";"Arlette";"F";1959-11-15;31;"Profession libérale";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"BROCARD-MARTIN";"Blandine";"F";1981-11-03;33;"Cadre de la fonction publique";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"CAMUS";"Jérémy";"M";1977-05-10;37;"Cadre administratif et commercial d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"CHIPIER";"Yves";"M";1973-10-02;37;"Cadre administratif et commercial d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"D'AMATO";"Thierry";"M";1959-07-26;34;"Professeur, profession scientifique";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"ENDERLIN";"Angélique";"F";1968-01-09;54;"Employé administratif d'entreprise";2026-03-16;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"GRANGE";"Charlotte";"F";1982-01-28;54;"Employé administratif d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"GUILLOT";"Patrick Jean";"M";1957-02-14;74;"Ancien cadre";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"JAL";"Jean-Philippe";"M";1988-11-21;37;"Cadre administratif et commercial d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"MATHIEU";"Marie-Hélène";"F";1961-06-03;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2026-03-16;"Vice-président de l'assemblée";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"MICHEL";"Sébastien";"M";1979-03-20;37;"Cadre administratif et commercial d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"POULAIN";"Virginie";"F";1968-04-02;37;"Cadre administratif et commercial d'entreprise";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"VINCENT";"Max";"M";1950-07-04;77;"Ancien employé";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69013;"Val De Saône";"VUITTON";"Jacques";"M";1961-01-20;74;"Ancien cadre";2026-03-16;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"AMARD";"Gabriel";"M";1967-05-05;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"ARTHAUD";"Léna";"F";1991-03-08;42;"Professeur des écoles, instituteur et assimilé";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"BERNARD";"Bruno";"M";1970-12-31;23;"Chef d'entreprise de 10 salariés ou plus";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"BLES-GAGNAIRE";"Sylvie";"F";1960-04-21;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"BOCQUET";"Jonathan";"M";1986-02-05;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"BRUNEL";"Vinciane";"F";1978-08-21;37;"Cadre administratif et commercial d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"BURNIER";"Jean-Paul";"M";1948-05-25;31;"Profession libérale";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"DEVINAZ";"Gilbert-Luc";"M";1953-07-19;74;"Ancien cadre";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"GENDRIN";"Solal";"M";1997-05-31;38;"Ingénieur et cadre technique d'entreprise";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"HADJ-MIMOUNE";"Melouka";"F";1960-04-27;43;"Profession intermédiaire de la santé et du travail social";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"KHELIFI";"Zemorda";"F";1974-10-01;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"PEREZ";"Eric";"M";1980-12-16;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"THOUVENOT";"Agnès";"F";1978-08-04;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"VAN STYVENDAEL";"Cédric";"M";1973-10-15;74;"Ancien cadre";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"VESSILLER";"Béatrice";"F";1962-12-08;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"VINCE";"Jacques";"M";1970-04-05;34;"Professeur, profession scientifique";2026-03-23;"Autre membre";2026-03-26
84;"Auvergne-Rhône-Alpes";69;"Rhône";"69M";"Métropole De Lyon";;;69014;"Villeurbanne";"VULLIERME";"Didier";"M";1972-09-22;33;"Cadre de la fonction publique";2026-03-23;"Autre membre";2026-03-26
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"CARIUS";"Francine";"F";1955-03-05;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"ETIENNE NOTTE";"Yannick";"F";1970-05-24;52;"Employé civil et agent de service de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"LEOTIN";"Marie-Hélène";"F";1952-06-27;74;"Ancien cadre";2023-06-15;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"MANIN";"Josette";"F";1950-03-16;75;"Ancienne profession intermédiaire";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"MARIE-REINE";"Olivier";"M";1968-06-15;21;"Artisan";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"MARIE-SAINTE";"Daniel";"M";1944-12-14;74;"Ancien cadre";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"MERINE";"Félix";"M";1962-08-27;23;"Chef d'entreprise de 10 salariés ou plus";2021-02-07;"Membre de l'organe exécutif";2021-02-07
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"ROSE";"Johnny";"M";1956-03-01;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"TAUREL";"Monette";"F";1966-01-01;11;"Agriculteur sur petite exploitation";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"TAVERNIER";"Samuel";"M";1958-01-06;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"TELLE";"Patricia";"F";1959-12-12;43;"Profession intermédiaire de la santé et du travail social";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;972;"Martinique";972;"Martinique";"02ZB1";"Martinique-Section Du Centre";;;"TINOT";"Marie-Frantz";"F";1959-05-07;37;"Cadre administratif et commercial d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"AZEROT";"Bruno Nestor";"M";1961-07-22;22;"Commerçant et assimilé";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"BEAULIEU";"Lydia";"F";1974-06-22;38;"Ingénieur et cadre technique d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"BERNABE";"Kora";"F";1989-06-04;38;"Ingénieur et cadre technique d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"BOUTRIN";"Louis";"M";1958-09-26;31;"Profession libérale";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"DUFEAL";"Eric";"M";1965-10-23;33;"Cadre de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"DULYS-PETIT";"Jenny";"F";1953-01-15;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"ECANVIL";"Jean-Claude";"M";1952-10-06;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"ISMAIN";"Felix";"M";1952-02-20;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"LARGEN-MARINE";"Yolène";"F";1958-09-30;31;"Profession libérale";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"LIMIER";"Nadia Emilienne";"F";1970-05-29;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"LISLET";"Claude";"M";1963-08-16;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"NADEAU";"Marcellin";"M";1962-11-02;33;"Cadre de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"PAMPHILE";"Justin";"M";1969-05-06;33;"Cadre de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB2";"Martinique-Section Du Nord";;;"SALIBER";"Lucien";"M";1951-10-24;74;"Ancien cadre";2021-07-02;"Président de l'assemblée";2021-07-02
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"CAROLE";"Francis";"M";1958-10-19;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"CASANOVA";"Sandra";"F";1975-03-29;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"CHAMMAS";"Charles";"M";1965-06-30;34;"Professeur, profession scientifique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"CONCONNE";"Catherine";"F";1963-05-18;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"DUVERGER";"Jean-Claude";"M";1948-06-14;74;"Ancien cadre";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"EMMANUEL";"Christiane";"F";1962-09-30;45;"Profession intermédiaire administrative de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"LAGUERRE";"Didier";"M";1966-01-10;34;"Professeur, profession scientifique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"LETCHIMY";"Serge";"M";1953-01-13;74;"Ancien cadre";2021-07-02;"Président de l'organe exécutif";2021-07-02
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"MONROSE";"Michelle";"F";1984-11-07;34;"Professeur, profession scientifique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"RAVIN";"Marie-Ange";"F";1951-05-05;21;"Artisan";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB3";"Martinique-Section De Fort-De-France";;;"VENTADOUR";"Alexandre";"M";1981-04-13;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"ACCUS ADAINE";"Nadia Karine";"F";1975-07-17;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"BEAUNOL";"Jean François Emmanuel";"M";1962-12-30;37;"Cadre administratif et commercial d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"BELLAY-RAVION";"Léa";"F";1971-08-01;42;"Professeur des écoles, instituteur et assimilé";2025-04-04;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"CLEM-BERTHOLO";"Manuella";"F";1966-12-06;33;"Cadre de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"DINAL";"David";"M";1952-08-10;31;"Profession libérale";2021-07-02;"Vice-président de l'assemblée";2025-06-02
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"DUNON";"Rosalie";"F";1951-09-08;77;"Ancien employé";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"LARCHER";"Eugène";"M";1947-02-03;74;"Ancien cadre";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"MIRANDE";"José";"M";1958-08-31;72;"Ancien artisan, commerçant, chef d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"NARCISSOT";"Marius";"M";1964-03-01;37;"Cadre administratif et commercial d'entreprise";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"NELLA";"Aurelie";"F";1985-05-04;33;"Cadre de la fonction publique";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"NILOR";"Jean-Philippe";"M";1965-05-15;85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"NORCA";"Stéphanie";"F";1983-01-11;43;"Profession intermédiaire de la santé et du travail social";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"PANZO";"Jocelyne";"F";1956-01-30;77;"Ancien employé";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"TIRAULT";"Fred Michel";"M";1973-07-07;31;"Profession libérale";2021-07-02;;
;;972;"Martinique";972;"Martinique";"02ZB4";"Martinique-Section Du Sud";;;"VALENTIN";"Sandra";"F";1970-12-02;33;"Cadre de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"ALEXANDRE";"Rodolphe";"M";1953-09-25;86;"Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité)";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"BARBE";"Christiane";"F";1968-07-01;22;"Commerçant et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"BRIQUET";"Muriel";"F";1973-12-06;37;"Cadre administratif et commercial d'entreprise";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"LE WEST";"Jean-Luc";"M";1965-08-21;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"LEONCE";"Chester";"M";1979-08-17;34;"Professeur, profession scientifique";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"LONG-HIM-NAM";"Serge";"M";1952-07-26;74;"Ancien cadre";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"MARIE";"Audrey";"F";1974-07-08;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC1";"Guyane-Section De Cayenne";;;"SAINT-ORICE";"Zadkiel";"M";1983-12-15;22;"Commerçant et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"ALCIN";"Sherly";"F";1976-04-03;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"ALEXANDER";"Lucien";"M";1955-10-22;74;"Ancien cadre";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"BOUBA";"Philippe";"M";1980-05-10;34;"Professeur, profession scientifique";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"BÉLIZAIRE";"Julnor";"M";1979-02-28;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"CHAMBAUD";"Aïssatou";"F";1977-12-03;31;"Profession libérale";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"MACHICHI PROST";"Violaine";"F";1985-06-05;45;"Profession intermédiaire administrative de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"PATIENT";"Isabelle";"F";1979-07-19;33;"Cadre de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"PLENET";"Claude";"M";1965-05-24;31;"Profession libérale";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC2";"Guyane-Section De La Petite Couronne";;;"RATTIER";"Marie Lucienne";"F";1971-01-11;37;"Cadre administratif et commercial d'entreprise";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC3";"Guyane-Section De La Grande Couronne";;;"LABRADOR";"Jean-Claude";"M";1951-08-12;75;"Ancienne profession intermédiaire";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC3";"Guyane-Section De La Grande Couronne";;;"NOKO";"Christian";"M";1957-03-06;77;"Ancien employé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC3";"Guyane-Section De La Grande Couronne";;;"PRINCE";"Emmanuel";"M";1980-03-20;34;"Professeur, profession scientifique";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC4";"Guyane-Section De L'Oyapock";;;"DÉSERT";"Pierre";"M";1944-06-19;71;"Ancien agriculteur exploitant";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC4";"Guyane-Section De L'Oyapock";;;"GEORGES-MATHURIN";"Léda";"F";1984-02-06;55;"Employé de commerce";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC4";"Guyane-Section De L'Oyapock";;;"MONERVILLE";"René";"M";1974-02-12;21;"Artisan";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"COSSET";"Patrick";"M";1959-11-11;34;"Professeur, profession scientifique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"RINGUET";"François";"M";1976-08-24;45;"Profession intermédiaire administrative de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"ROBINSON CHOCHO";"Annie";"F";1956-12-06;33;"Cadre de la fonction publique";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"SOESANNA";"Magda";"F";1989-08-28;52;"Employé civil et agent de service de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"VERNET";"Isabelle";"F";1967-01-23;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC5";"Guyane-Section Des Savanes";;;"WILLIAM";"Enrico";"M";1976-09-17;23;"Chef d'entreprise de 10 salariés ou plus";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"BAGADI";"François";"M";1977-10-30;52;"Employé civil et agent de service de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"DADA";"Félix";"M";1977-03-24;45;"Profession intermédiaire administrative de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"DANIEL";"Juliette";"F";1964-01-09;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"DEYE";"Raymond";"M";1979-02-07;52;"Employé civil et agent de service de la fonction publique";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"GALIMOT";"Denis";"M";1972-07-19;22;"Commerçant et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"TANI";"Mirta";"F";1984-06-05;77;"Ancien employé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC6";"Guyane-Section Du Haut-Maroni";;;"TELON";"Sergina";"F";1990-03-23;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"FEREIRA";"Jean-Paul";"M";1971-04-10;54;"Employé administratif d'entreprise";2021-07-02;"Vice-président de l'assemblée";2021-07-02
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"KEZZA";"Crépin";"M";1970-09-28;33;"Cadre de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"LE GALL";"Gilles";"M";1969-06-05;34;"Professeur, profession scientifique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"LÉO";"Catherine";"F";1961-07-14;33;"Cadre de la fonction publique";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"PERLET";"Keena";"F";1978-05-30;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC7";"Guyane-Section De Saint-Laurent-Du-Maroni";;;"WAARHEID";"Benfelino";"M";1989-01-08;42;"Professeur des écoles, instituteur et assimilé";2021-07-02;;
;;973;"Guyane";973;"Guyane";"03ZC8";"Guyane-Section De Basse-Mana";;;"BENTH";"Albéric";"M";1965-12-16;13;"Agriculteur sur grande exploitation";2021-07-02;;
