"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
2;"Etats-Unis d'Amérique";204;"Etats-Unis - 4e circonscription";"LARAICHI";"Oussama";"M";1988-01-13;"MAROC";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
2;"Etats-Unis d'Amérique";204;"Etats-Unis - 4e circonscription";"LAURENS";"Khadija";"F";1977-09-09;"ALGERIE";37;"Cadre administratif et commercial d'entreprise";2022-02-02;;
2;"Etats-Unis d'Amérique";205;"Etats-Unis - 5e circonscription";"BERNERD";"Frédéric";"M";1976-04-16;"Vannes";43;"Profession intermédiaire de la santé et du travail social";2023-12-02;;
2;"Etats-Unis d'Amérique";205;"Etats-Unis - 5e circonscription";"BONDRILLE";"Franck";"M";1967-05-18;"Ajaccio";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-09
2;"Etats-Unis d'Amérique";205;"Etats-Unis - 5e circonscription";"GAULT";"Axelle";"F";1979-09-05;"Bourges";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
2;"Etats-Unis d'Amérique";205;"Etats-Unis - 5e circonscription";"MARTIN-O'BRIEN";"Aline";"F";1975-10-14;"Chambray-Lès-Tours";31;"Profession libérale";2021-07-12;;
2;"Etats-Unis d'Amérique";206;"Etats-Unis - 6e circonscription";"CHANTEPIE";"Blandine";"F";1983-03-11;"Amiens";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
2;"Etats-Unis d'Amérique";206;"Etats-Unis - 6e circonscription";"CURIONI";"Monique";"F";1953-02-11;"PARIS 17E ARRONDISSEMENT";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-18
2;"Etats-Unis d'Amérique";206;"Etats-Unis - 6e circonscription";"LEYDIER";"Béatrice";"F";1993-09-17;"Toulouse";34;"Professeur, profession scientifique";2021-05-31;;
2;"Etats-Unis d'Amérique";206;"Etats-Unis - 6e circonscription";"PITON";"Olivier";"M";1966-08-03;"PARIS17";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";207;"Etats-Unis - 7e circonscription";"CARACO";"Patrick";"M";1949-11-16;"LYON 6E ARRONDISSEMENT";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";207;"Etats-Unis - 7e circonscription";"DEMEESTERE";"Hélène";"F";1955-10-12;"Lille";34;"Professeur, profession scientifique";2021-05-31;;
2;"Etats-Unis d'Amérique";207;"Etats-Unis - 7e circonscription";"HAJJAR";"Cynthia";"F";1974-03-04;"LIBAN";35;"Profession de l'information, des arts et des spectacles";2021-05-31;;
2;"Etats-Unis d'Amérique";207;"Etats-Unis - 7e circonscription";"MICHON";"Gérard";"M";1956-03-29;"Talence";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";207;"Etats-Unis - 7e circonscription";"ORAND";"Stanislas";"M";1963-09-04;"Puteaux";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-29
2;"Etats-Unis d'Amérique";208;"Etats-Unis - 8e circonscription";"BERNARD";"Jean-Pierre";"M";1953-10-31;"Saint-Germain-En-Laye";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";208;"Etats-Unis - 8e circonscription";"LARTILLEUX SUBERVILLE";"Sophie";"F";1963-10-12;"MEXIQUE";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";208;"Etats-Unis - 8e circonscription";"LE GLAND";"Loïc";"M";1977-03-30;"Vannes";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
2;"Etats-Unis d'Amérique";208;"Etats-Unis - 8e circonscription";"MOREL";"Serge";"M";1963-03-18;"Mâcon";35;"Profession de l'information, des arts et des spectacles";2021-05-31;"Président du conseil consulaire";2023-10-13
2;"Etats-Unis d'Amérique";208;"Etats-Unis - 8e circonscription";"SOUIHI";"Warda";"F";1987-04-17;"Mont-Saint-Aignan";33;"Cadre de la fonction publique";2021-05-31;;
2;"Etats-Unis d'Amérique";209;"Etats-Unis - 9e circonscription";"EPELBAUM";"Gérard";"M";1958-03-11;"PARIS11";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-17
2;"Etats-Unis d'Amérique";209;"Etats-Unis - 9e circonscription";"MICHEL";"Annie";"F";1950-05-24;"Nevers";34;"Professeur, profession scientifique";2021-05-31;;
2;"Etats-Unis d'Amérique";209;"Etats-Unis - 9e circonscription";"ORTOLI";"Richard";"M";1949-11-11;"SYDNEY";31;"Profession libérale";2021-05-31;;
2;"Etats-Unis d'Amérique";209;"Etats-Unis - 9e circonscription";"PAGNI";"Patrick";"M";1949-07-15;"Nîmes";31;"Profession libérale";2021-07-02;;
2;"Etats-Unis d'Amérique";209;"Etats-Unis - 9e circonscription";"RICHARD";"Pascale";"F";1958-11-08;"Boulogne-Billancourt";35;"Profession de l'information, des arts et des spectacles";2021-05-31;;
3;"Amérique latine et Caraïbes";301;"Argentine";"DUBOIS";"Christophe";"M";1965-07-22;"Le Nouvion-En-Thiérache";31;"Profession libérale";2021-05-31;;
3;"Amérique latine et Caraïbes";301;"Argentine";"GUILLOT";"Jérôme";"M";1961-05-24;"PARIS 16E ARRONDISSEMENT";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";301;"Argentine";"PRESTAT";"Cédric";"M";1982-10-21;;38;"Ingénieur et cadre technique d'entreprise";2023-01-24;;
3;"Amérique latine et Caraïbes";301;"Argentine";"WAKSMANN";"Laurent";"M";1985-09-16;"PARIS 16E ARRONDISSEMENT";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2022-11-17
