"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"SPARROW";"Marie-Claire";"F";1947-08-01;"PARIS 14E ARRONDISSEMENT";31;"Profession libérale";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"VAZEILLE";"Rémi";"M";1966-05-28;"Saint-Etienne";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
4;"Europe du Nord";407;"Suède";"ALTSCHUL";"Noémie";"F";1983-02-09;"PARIS 13E ARRONDISSEMENT";34;"Professeur, profession scientifique";2021-05-31;;
4;"Europe du Nord";407;"Suède";"MOKRANI";"Hicham";"M";1953-04-19;"TUNISIE";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;;
4;"Europe du Nord";407;"Suède";"PARMEGIANI";"Nathalie";"F";1961-12-03;"PARIS14";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2021-06-16
4;"Europe du Nord";407;"Suède";"PRIPP";"Nadine";"F";1959-01-22;"PARIS 19E ARRONDISSEMENT";45;"Profession intermédiaire administrative de la fonction publique";2021-05-31;;
5;"Benelux";501;"Belgique";"BISCH";"Anthony";"M";1980-01-20;"Strasbourg";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
5;"Benelux";501;"Belgique";"CHARLET";"Léa";"F";1989-10-12;"Clamart";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
5;"Benelux";501;"Belgique";"GONDARD";"Cécilia";"F";1980-06-04;"Courbevoie";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
5;"Benelux";501;"Belgique";"MASSON";"Thierry";"M";1983-08-11;"Bergerac";33;"Cadre de la fonction publique";2021-05-31;;
5;"Benelux";501;"Belgique";"MICHEL";"Jérémy";"M";1975-04-30;"Poissy";56;"Personnel des services directs aux particuliers";2021-05-31;"Président du conseil consulaire";2021-06-24
5;"Benelux";501;"Belgique";"WANDELST";"Isabelle";"F";1963-03-03;"Charleville-Mézières";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
5;"Benelux";501;"Belgique";"WERT";"Bertrand";"M";1975-06-14;"SAINT-PRIEST";33;"Cadre de la fonction publique";2021-05-31;;
5;"Benelux";502;"Luxembourg";"CHATEAU-DUCOS";"Alexandre";"M";1969-01-30;"Sainte-Foy-La-Grande";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
5;"Benelux";502;"Luxembourg";"DERUDDER";"Vincent";"M";1948-02-23;"Clichy";54;"Employé administratif d'entreprise";2021-05-31;;
5;"Benelux";502;"Luxembourg";"SCHAULI";"Frédéric";"M";1978-08-15;"Schiltigheim";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
5;"Benelux";502;"Luxembourg";"THÉRET";"Bruno";"M";1956-10-09;"MALO-LES-BAINS";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-24
5;"Benelux";502;"Luxembourg";"VALLANCE";"Stéphane";"M";1966-12-30;"Nancy";33;"Cadre de la fonction publique";2023-12-29;;
5;"Benelux";503;"Pays-Bas";"DEGRYSE";"Hélène";"F";1977-03-11;"Calais";31;"Profession libérale";2021-05-31;;
5;"Benelux";503;"Pays-Bas";"KOK ESCALLE";"Marie-Christine";"F";1948-09-24;"PARIS 8E ARRONDISSEMENT";34;"Professeur, profession scientifique";2021-05-31;;
5;"Benelux";503;"Pays-Bas";"LAVEANT";"Pierre";"M";1973-07-06;"PARIS11";33;"Cadre de la fonction publique";2021-05-31;;
5;"Benelux";503;"Pays-Bas";"LIBEAUT";"Catherine";"F";1963-09-26;"Angers";43;"Profession intermédiaire de la santé et du travail social";2021-05-31;"Président du conseil consulaire";2021-06-16
5;"Benelux";503;"Pays-Bas";"MAKAYA";"Yohann";"M";1984-06-01;"Montpellier";43;"Profession intermédiaire de la santé et du travail social";2024-01-04;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";601;"Allemagne - 1re circonscription";"KLIESS";"Marie-Christine";"F";1945-08-29;"PARIS 15E ARRONDISSEMENT";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";601;"Allemagne - 1re circonscription";"LOISEAU";"Philippe";"M";1964-06-24;"Le Creusot";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";601;"Allemagne - 1re circonscription";"MAIGNÉ";"Stéphan";"M";1969-07-02;"Suresnes";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-22
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";601;"Allemagne - 1re circonscription";"RAFFIN-WEINLEIN";"Camille";"F";1970-06-07;"PARIS 15E ARRONDISSEMENT";35;"Profession de l'information, des arts et des spectacles";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";601;"Allemagne - 1re circonscription";"ZELLER";"Henri";"M";1970-09-09;"BELGIQUE";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"BAUMANN";"Alicia";"F";1989-07-01;"Carcasonne";43;"Profession intermédiaire de la santé et du travail social";2022-12-20;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"KLAINE";"Olivia";"F";1987-09-26;"FRANCE";37;"Cadre administratif et commercial d'entreprise";2022-07-01;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"LANGLET";"Jean-Marie";"M";1944-11-08;"PARIS 20E ARRONDISSEMENT";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-29
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"OUAMMAR";"Saliha";"F";1964-01-03;"ALGÉRIE";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"PASCAL";"Olivier";"M";1985-11-09;"Cayenne";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";602;"Allemagne - 2e circonscription";"RENOLLAUD";"Jean-Pierre";"M";1954-08-28;"La Garenne-Colombes";74;"Ancien cadre";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"BOUVERET";"Ellen";"F";1958-03-08;"Pontarlier";34;"Professeur, profession scientifique";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"FOUQUES-WEISS";"Nadine";"F";1949-11-21;"PARIS16";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"GROMIER-HEIM";"Laurence";"F";1957-12-01;"Bourg-En-Bresse";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-28
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"LECLERC";"Audrey";"F";1987-01-06;"Rueil-Malmaison";33;"Cadre de la fonction publique";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"PLUDERMACHER";"Bruno";"M";1961-05-26;"PARIS14";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";603;"Allemagne - 3e circonscription";"ZUCCO";"Frédéric";"M";1958-07-27;"PARIS 13E ARRONDISSEMENT";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";604;"Autriche, Slovaquie, Slovénie";"LE VOUEDEC-GUEGANNO";"Frédéric";"M";1975-03-18;"Hennebont";42;"Professeur des écoles, instituteur et assimilé";2022-10-11;"Président du conseil consulaire";2022-10-17
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";604;"Autriche, Slovaquie, Slovénie";"ROUÉ";"Vincent";"M";1990-08-21;"Brest";38;"Ingénieur et cadre technique d'entreprise";2023-10-15;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";604;"Autriche, Slovaquie, Slovénie";"TRESSARD";"Fabrice";"M";1974-09-19;"Quimper";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-18
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";604;"Autriche, Slovaquie, Slovénie";"UGO";"Patrick";"M";1965-12-03;"Marseille";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2023-10-18
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";605;"Suisse - 1re circonscription";"AVEZOU";"Odile";"F";1967-10-21;"Dijon";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-28
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";605;"Suisse - 1re circonscription";"COL";"Alexandre";"M";1963-08-16;"LAUSANNE";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";605;"Suisse - 1re circonscription";"KEIL";"Jean-Philippe";"M";1967-09-17;"Strasbourg";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";605;"Suisse - 1re circonscription";"LEMER";"François";"M";1976-09-12;"FRANCE";42;"Professeur des écoles, instituteur et assimilé";2022-06-22;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";605;"Suisse - 1re circonscription";"PORTAL";"Louis";"M";1992-02-21;"Pessac";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"CHAHDI";"Lalla-Ilham";"F";1991-10-07;"Cluses";54;"Employé administratif d'entreprise";2024-01-05;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"CHEVALIER";"Linda";"F";1952-04-15;"MAROC";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"COLLETTE";"Marlène";"F";1974-10-27;"Livry-Gargan";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-24
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"CREGUT";"Remy";"M";1960-09-05;"FRANCE";23;"Chef d'entreprise de 10 salariés ou plus";2022-06-27;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"DE ZIEGLER";"Nicolas";"M";1954-09-21;"Neuilly-Sur-Seine";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2023-06-01
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"FOTI";"Laura";"F";1987-01-03;"FRANCE";37;"Cadre administratif et commercial d'entreprise";2022-06-22;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"ISLER";"Margaux";"F";1984-07-09;"Suisse";31;"Profession libérale";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"KOKOT";"Guilhem";"M";1995-07-14;"Lourdes";43;"Profession intermédiaire de la santé et du travail social";2021-05-31;;
6;"Allemagne, Autriche, Slovaquie, Slovénie, Suisse";606;"Suisse - 2e circonscription";"LANG";"Nicolas";"M";1968-08-21;"Boulogne-Billancourt";46;"Profession intermédiaire administrative et commerciale des entreprises";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";701;"Arménie, Géorgie";"BARDON-HAMBARDZUMYAN";"Lusine";"F";1971-11-22;"ARMÉNIE";22;"Commerçant et assimilé";2021-05-31;"Président du conseil consulaire";2021-07-01
7;"Europe centrale et orientale ( y compris Russie )";702;"Bulgarie, Bosnie-Herzégovine, Macédoine, Albanie, Kosovo, Monténégro";"BOTEVA-MALO";"Tatiana";"F";1950-06-10;"BULGARIE";35;"Profession de l'information, des arts et des spectacles";2021-05-31;"Président du conseil consulaire";2021-09-13
7;"Europe centrale et orientale ( y compris Russie )";702;"Bulgarie, Bosnie-Herzégovine, Macédoine, Albanie, Kosovo, Monténégro";"LECLERCQ";"Amélie";"F";1964-04-13;"Talence";22;"Commerçant et assimilé";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";702;"Bulgarie, Bosnie-Herzégovine, Macédoine, Albanie, Kosovo, Monténégro";"PASCAL";"Patrick";"M";1961-06-04;"Salon-De-Provence";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-09-14
7;"Europe centrale et orientale ( y compris Russie )";703;"Croatie";"PESTOTNIK PREBEG";"Tea";"F";1980-05-14;"CROATIE";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-29
7;"Europe centrale et orientale ( y compris Russie )";704;"Hongrie";"DOSSO";"Namory";"M";1974-06-30;"PARIS 13E ARRONDISSEMENT";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";704;"Hongrie";"DUBARD-KAJTAR";"Jeanne";"F";1963-09-22;"Dijon";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-28
7;"Europe centrale et orientale ( y compris Russie )";704;"Hongrie";"LIEGEY";"Vincent";"M";1979-07-08;"Besançon";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";705;"Pologne";"CHAUVEAU";"Frédéric";"M";1970-03-16;"Vendôme";34;"Professeur, profession scientifique";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";705;"Pologne";"ROSSI";"Jean";"M";1965-05-23;"PARIS 14E ARRONDISSEMENT";31;"Profession libérale";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";705;"Pologne";"SALVAT";"Eric";"M";1961-12-28;"LYON 2E ARRONDISSEMENT";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-22
7;"Europe centrale et orientale ( y compris Russie )";706;"République tchèque";"GUICHARD BUSZMAN";"Aude";"F";1989-08-07;"Boulogne-Billancourt";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";706;"République tchèque";"LE MOIGNE";"Vassili";"M";1966-11-15;"Versailles";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-15
7;"Europe centrale et orientale ( y compris Russie )";706;"République tchèque";"PIMENTA";"Charlie";"M";1996-03-13;"Montluçon";31;"Profession libérale";2023-09-01;;
7;"Europe centrale et orientale ( y compris Russie )";707;"Roumanie, Moldavie";"GRUIA DUFAUT";"Dana";"F";1960-03-27;"ROUMANIE";31;"Profession libérale";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";707;"Roumanie, Moldavie";"LEMAÎTRE";"Christian";"M";1959-02-05;"Tours";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-04
7;"Europe centrale et orientale ( y compris Russie )";707;"Roumanie, Moldavie";"MAYRAND";"Benoît";"M";1966-09-10;"Boulogne-Billancourt";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";708;"Russie, Biélorussie";"BURLOTTE";"Olivier";"M";1964-01-09;"Boulogne-Billancourt";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-07
7;"Europe centrale et orientale ( y compris Russie )";708;"Russie, Biélorussie";"FERRARI";"Franck";"M";1972-01-03;"Nouméa";34;"Professeur, profession scientifique";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";708;"Russie, Biélorussie";"MEGRELIS";"Nicolas";"M";1969-02-03;"Enghien-Les-Bains";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
7;"Europe centrale et orientale ( y compris Russie )";709;"Serbie";"GRASSER";"Eric";"M";1971-02-10;"La Walck";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-15
7;"Europe centrale et orientale ( y compris Russie )";710;"Ukraine";"FRANCK";"David";"M";1968-03-11;"Boulogne-Billancourt";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;"Président du conseil consulaire";2021-06-04
8;"Europe du Sud";801;"Chypre";"KYPRIANIDOU";"Hélène";"F";1952-10-08;"CHYPRE";77;"Ancien employé";2021-05-31;"Président du conseil consulaire";2021-07-05
8;"Europe du Sud";802;"Grèce";"BROCHARD";"Guy";"M";1970-06-09;"CROIX";35;"Profession de l'information, des arts et des spectacles";2021-05-31;;
8;"Europe du Sud";802;"Grèce";"DESCHAMPS";"Françoise";"F";1952-03-07;"Talence";54;"Employé administratif d'entreprise";2021-05-31;;
8;"Europe du Sud";802;"Grèce";"MULLER";"Nelly";"F";1947-04-03;"ALGÉRIE";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-22
8;"Europe du Sud";802;"Grèce";"PICHARLES";"Chantal";"F";1958-01-13;"Commentry";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
8;"Europe du Sud";803;"Italie - 1re circonscription ( avec Malte et Etat de la Cité du Vatican )";"BARRE";"Gaëlle";"F";1972-08-15;"Longjumeau";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-07
8;"Europe du Sud";803;"Italie - 1re circonscription ( avec Malte et Etat de la Cité du Vatican )";"CHORAINE";"Pierre";"M";1967-02-14;"LYON 8E ARRONDISSEMENT";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
8;"Europe du Sud";803;"Italie - 1re circonscription ( avec Malte et Etat de la Cité du Vatican )";"DE BLESSON";"Carole";"F";1967-07-18;"PARIS 16E ARRONDISSEMENT";31;"Profession libérale";2021-05-31;;
8;"Europe du Sud";803;"Italie - 1re circonscription ( avec Malte et Etat de la Cité du Vatican )";"LEBEL";"Olivier";"M";1960-09-21;"SUISSE";31;"Profession libérale";2024-02-07;;
8;"Europe du Sud";803;"Italie - 1re circonscription ( avec Malte et Etat de la Cité du Vatican )";"SPIESSER";"Olivier";"M";1967-09-23;"Angers";34;"Professeur, profession scientifique";2021-05-31;;
8;"Europe du Sud";804;"Italie - 2e circonscription";"AMICO";"Marie-Ange";"F";1950-03-30;"ITALIE";33;"Cadre de la fonction publique";2021-05-31;;
8;"Europe du Sud";804;"Italie - 2e circonscription";"BEZARDIN";"Alexandre";"M";1972-12-30;"Boulogne-Billancourt";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
8;"Europe du Sud";804;"Italie - 2e circonscription";"LE CARDINAL";"Hugues";"M";1967-06-28;"Saint-Jean-De-Maurienne";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-24
8;"Europe du Sud";804;"Italie - 2e circonscription";"MONAT-VANDEBROUCK";"Isabelle";"F";1965-03-25;"Suresnes";74;"Ancien cadre";2023-10-10;;
8;"Europe du Sud";804;"Italie - 2e circonscription";"REA";"Annie";"F";1961-08-18;"LYON7";31;"Profession libérale";2021-05-31;;
8;"Europe du Sud";805;"Monaco";"MAUDUIT-PALLANCA";"Michelle";"F";1943-09-24;"MÉZIDON-CANON";33;"Cadre de la fonction publique";2021-05-31;;
8;"Europe du Sud";805;"Monaco";"MOTILLON";"Géraldine";"F";1970-01-22;"MONACO";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
8;"Europe du Sud";805;"Monaco";"PISCIOTTA";"Christophe";"M";1966-03-23;"MONACO";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-15
8;"Europe du Sud";806;"Turquie";"JAUBERTY";"Michel";"M";1945-07-11;"Guéret";74;"Ancien cadre";2021-05-31;;
8;"Europe du Sud";806;"Turquie";"KORO";"Marie-Rose";"F";1957-03-02;"Colmar";74;"Ancien cadre";2021-05-31;;
8;"Europe du Sud";806;"Turquie";"OGUTGEN";"Florence";"F";1960-08-07;"Le Havre";22;"Commerçant et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-23
8;"Europe du Sud";806;"Turquie";"OZDILMEN";"Belgin";"F";1980-09-19;"Avesnes-Sur-Helpe";31;"Profession libérale";2021-05-31;;
9;"Péninsule Ibérique";901;"Andorre";"METAYER";"Catherine";"F";1956-01-19;"Châteaubriant";35;"Profession de l'information, des arts et des spectacles";2021-05-31;"Président du conseil consulaire";2021-06-16
9;"Péninsule Ibérique";902;"Espagne - 1re circonscription";"BOURBON";"Pascal";"M";1965-01-18;"Limoges";31;"Profession libérale";2021-05-31;;
9;"Péninsule Ibérique";902;"Espagne - 1re circonscription";"DE MARCELLUS";"Baudouin";"M";1972-11-18;"DAKAR";31;"Profession libérale";2021-05-31;;
9;"Péninsule Ibérique";902;"Espagne - 1re circonscription";"LE BERRE";"Renaud";"M";1967-09-27;"Morlaix";34;"Professeur, profession scientifique";2021-05-31;;
9;"Péninsule Ibérique";902;"Espagne - 1re circonscription";"OGONOWSKI";"Philippe";"M";1966-08-04;"Saint-Chamond";35;"Profession de l'information, des arts et des spectacles";2021-05-31;"Président du conseil consulaire";2022-01-13
9;"Péninsule Ibérique";902;"Espagne - 1re circonscription";"SAINT-DIZIER";"Ana";"F";1979-07-10;"Toulouse";45;"Profession intermédiaire administrative de la fonction publique";2021-05-31;;
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"HUSS";"Francis";"M";1933-01-05;"Strasbourg";74;"Ancien cadre";2021-10-19;;
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"LE VAILLANT";"Stéphanie";"F";1979-02-12;"Pabu";31;"Profession libérale";2021-05-31;;
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"LECOMTE";"Gaëlle";"F";1988-12-04;"Evry";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"QUINTANA";"Pablo";"M";1965-12-13;"CHILI";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2022-01-20
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"RALLE";"François";"M";1974-01-18;"Besançon";34;"Professeur, profession scientifique";2021-05-31;;
9;"Péninsule Ibérique";903;"Espagne - 2e circonscription";"SERVANTON";"Gilles";"M";1958-03-17;"ALGERIE";74;"Ancien cadre";2022-08-01;;
9;"Péninsule Ibérique";904;"Portugal";"CARDON";"Hervé";"M";1951-05-21;"PARIS 15E ARRONDISSEMENT";74;"Ancien cadre";2021-05-31;;
9;"Péninsule Ibérique";904;"Portugal";"FEUNTEUN CONESTABILE";"Françoise";"F";1948-11-23;"Briec";74;"Ancien cadre";2021-05-31;;
9;"Péninsule Ibérique";904;"Portugal";"GOATER";"Laurent";"M";1969-03-20;"Saint-Brieuc";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-18
9;"Péninsule Ibérique";904;"Portugal";"LEFRANCOIS";"Michel";"M";1956-04-30;"Caen";74;"Ancien cadre";2024-01-10;;
10;"Afrique du Nord";1001;"Algérie - 1re circonscription";"BELATRECHE";"Mehdi";"M";1973-08-01;"Strasbourg";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
10;"Afrique du Nord";1001;"Algérie - 1re circonscription";"HENNI";"Ahmed";"M";1962-08-29;"Narbonne";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2021-06-03
10;"Afrique du Nord";1001;"Algérie - 1re circonscription";"MATEO";"Yolande";"F";1946-03-22;"Gérardmer";74;"Ancien cadre";2021-05-31;;
10;"Afrique du Nord";1001;"Algérie - 1re circonscription";"YOUNSI";"Ouassini";"M";1981-09-29;"Dechy";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
10;"Afrique du Nord";1002;"Algérie - 2e circonscription";"BOUTALEB";"Abdelghani";"M";1976-03-24;"ALGÉRIE";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-06
10;"Afrique du Nord";1002;"Algérie - 2e circonscription";"HASNAOUI";"Fwad";"M";1963-11-04;"ALGÉRIE";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
10;"Afrique du Nord";1002;"Algérie - 2e circonscription";"MÊLE";"Sabri";"M";1970-09-01;"ALGÉRIE";52;"Employé civil et agent de service de la fonction publique";2021-05-31;;
10;"Afrique du Nord";1003;"Algérie - 3e circonscription";"DENDÈNE";"Karim";"M";1959-05-20;"Versailles";31;"Profession libérale";2021-05-31;;
10;"Afrique du Nord";1003;"Algérie - 3e circonscription";"HAMMOUTENE";"Djamal";"M";1958-05-22;"ALGÉRIE";74;"Ancien cadre";2021-05-31;;
10;"Afrique du Nord";1003;"Algérie - 3e circonscription";"LAHLOUH NÉE AOUN";"Nadia";"F";1958-03-05;"Saint-Maur-Des-Fossés";86;"Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité)";2021-05-31;;
10;"Afrique du Nord";1003;"Algérie - 3e circonscription";"RAHAL";"Radya";"F";1965-10-27;"Boulogne-Billancourt";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2021-06-17
10;"Afrique du Nord";1003;"Algérie - 3e circonscription";"ZIRIAT";"Reda";"M";1964-04-09;"ALGERIE";23;"Chef d'entreprise de 10 salariés ou plus";2021-12-20;;
10;"Afrique du Nord";1004;"Egypte";"MAJIDIER";"Hervé";"M";1955-04-12;"IRAN";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
10;"Afrique du Nord";1004;"Egypte";"PASCAL";"Catherine";"F";1961-03-29;"Saint-Brieuc";31;"Profession libérale";2021-05-31;;
10;"Afrique du Nord";1004;"Egypte";"PLEUTIN";"Rafael";"M";1956-03-24;"Lyon 3ème";42;"Professeur des écoles, instituteur et assimilé";2024-01-01;;
10;"Afrique du Nord";1005;"Maroc - 1re circonscription";"BENNANI";"Myriem";"F";1962-01-08;"MAROC";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;"Président du conseil consulaire";2021-06-03
10;"Afrique du Nord";1005;"Maroc - 1re circonscription";"GARTI";"Ismaël";"M";1976-12-02;"MAROC";31;"Profession libérale";2021-05-31;;
10;"Afrique du Nord";1005;"Maroc - 1re circonscription";"RIO";"Anna-Gael";"F";1973-09-05;"Nantes";31;"Profession libérale";2021-05-31;;
10;"Afrique du Nord";1006;"Maroc - 2e circonscription";"AUBERT";"Jacky";"M";1945-07-07;"ALGÉRIE";75;"Ancienne profession intermédiaire";2021-05-31;"Président du conseil consulaire";2021-06-11
10;"Afrique du Nord";1006;"Maroc - 2e circonscription";"BEN KERROUM DEVIDET";"Myriam Geneviève";"F";1947-10-05;"Nancy";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
10;"Afrique du Nord";1006;"Maroc - 2e circonscription";"GRATTEPANCHE";"Martine";"F";1955-01-18;"Sains-En-Gohelle";31;"Profession libérale";2021-05-31;;
